(1, 29, 20,0.002661), 
(1, 34, 20,0.002936), 
(1, 31, 20,0.003159), 
(1, 46, 20,0.003139), 
(1, 14, 20,0.001423), 
(1, 43, 20,0.002910), 
(1, 28, 20,0.002078), 
(1, 33, 20,0.002801), 
(1, 27, 20,0.002171), 
(1, 55, 20,0.003260), 
(1, 31, 20,0.003400), 
(1, 49, 20,0.003033), 
(1, 55, 20,0.004391), 
(1, 38, 20,0.002512), 
(1, 44, 20,0.003141), 
(1, 41, 20,0.003278), 
(1, 28, 20,0.001518), 
(1, 54, 20,0.003082), 
(1, 16, 20,0.001986), 
(1, 41, 20,0.003104), 
(1, 52, 20,0.003997), 
(1, 41, 20,0.003184), 
(1, 34, 20,0.002801), 
(1, 16, 20,0.001408), 
(1, 32, 20,0.002326), 
(1, 45, 20,0.003279), 
(1, 8, 20,0.001170), 
(1, 59, 20,0.003754), 
(1, 50, 20,0.003533), 
(1, 48, 20,0.003832), 
(1, 24, 20,0.002205), 
(1, 26, 20,0.002018), 
(1, 42, 20,0.003287), 
(1, 28, 20,0.002576), 
(1, 61, 20,0.003419), 
(1, 46, 20,0.002943), 
(1, 23, 20,0.001651), 
(1, 19, 20,0.001889), 
(1, 26, 20,0.002107), 
(1, 32, 20,0.002228), 
(1, 50, 20,0.003201), 
(1, 48, 30,0.004754), 
(1, 53, 30,0.005120), 
(1, 63, 30,0.005063), 
(1, 63, 30,0.006123), 
(1, 101, 30,0.008919), 
(1, 79, 30,0.007530), 
(1, 109, 30,0.007842), 
(1, 66, 30,0.004295), 
(1, 123, 30,0.008163), 
(1, 147, 30,0.008927), 
(1, 88, 30,0.005543), 
(1, 83, 30,0.005236), 
(1, 75, 30,0.004916), 
(1, 92, 30,0.005709), 
(1, 45, 30,0.003502), 
(1, 105, 30,0.006793), 
(1, 92, 30,0.006310), 
(1, 82, 30,0.005158), 
(1, 118, 30,0.009691), 
(1, 80, 30,0.005186), 
(1, 68, 30,0.004785), 
(1, 167, 30,0.013825), 
(1, 106, 30,0.011246), 
(1, 76, 30,0.009970), 
(1, 132, 30,0.010752), 
(1, 93, 30,0.007644), 
(1, 74, 30,0.004841), 
(1, 125, 30,0.007282), 
(1, 88, 30,0.007603), 
(1, 84, 30,0.005774), 
(1, 131, 30,0.009244), 
(1, 93, 30,0.005755), 
(1, 97, 30,0.006345), 
(1, 96, 30,0.005366), 
(1, 90, 30,0.005975), 
(1, 106, 30,0.007522), 
(1, 115, 30,0.008229), 
(1, 108, 30,0.007727), 
(1, 90, 30,0.006733), 
(1, 101, 30,0.008047), 
(1, 122, 30,0.006202), 
(1, 180, 40,0.018120), 
(1, 137, 40,0.013697), 
(1, 186, 40,0.014268), 
(1, 197, 40,0.017228), 
(1, 151, 40,0.017385), 
(1, 165, 40,0.014567), 
(1, 74, 40,0.008163), 
(1, 157, 40,0.015768), 
(1, 139, 40,0.012093), 
(1, 144, 40,0.013816), 
(1, 139, 40,0.014570), 
(1, 182, 40,0.022030), 
(1, 187, 40,0.014395), 
(1, 166, 40,0.013494), 
(1, 222, 40,0.019162), 
(1, 220, 40,0.019300), 
(1, 127, 40,0.012970), 
(1, 130, 40,0.013348), 
(1, 164, 40,0.025357), 
(1, 135, 40,0.013616), 
(1, 219, 40,0.021888), 
(1, 127, 40,0.012080), 
(1, 171, 40,0.014854), 
(1, 185, 40,0.015666), 
(1, 149, 40,0.012523), 
(1, 126, 40,0.010850), 
(1, 178, 40,0.015033), 
(1, 182, 40,0.021468), 
(1, 151, 40,0.012598), 
(1, 199, 40,0.016438), 
(1, 174, 40,0.018050), 
(1, 208, 40,0.017220), 
(1, 146, 40,0.013915), 
(1, 201, 40,0.016167), 
(1, 146, 40,0.013523), 
(1, 154, 40,0.013557), 
(1, 237, 40,0.019240), 
(1, 224, 40,0.016796), 
(1, 131, 40,0.010094), 
(1, 145, 40,0.011324), 
(1, 203, 40,0.017166), 
(1, 257, 50,0.031197), 
(1, 311, 50,0.034846), 
(1, 260, 50,0.038161), 
(1, 262, 50,0.026939), 
(1, 273, 50,0.033522), 
(1, 276, 50,0.029241), 
(1, 225, 50,0.030190), 
(1, 314, 50,0.033671), 
(1, 372, 50,0.045244), 
(1, 406, 50,0.047613), 
(1, 292, 50,0.047489), 
(1, 374, 50,0.038501), 
(1, 391, 50,0.057880), 
(1, 333, 50,0.035342), 
(1, 307, 50,0.041090), 
(1, 346, 50,0.042962), 
(1, 304, 50,0.034234), 
(1, 341, 50,0.037593), 
(1, 193, 50,0.020853), 
(1, 326, 50,0.039434), 
(1, 303, 50,0.035247), 
(1, 225, 50,0.022088), 
(1, 316, 50,0.035219), 
(1, 301, 50,0.032465), 
(1, 252, 50,0.026715), 
(1, 264, 50,0.032642), 
(1, 256, 50,0.025516), 
(1, 260, 50,0.039033), 
(1, 458, 50,0.063425), 
(1, 223, 50,0.035005), 
(1, 345, 50,0.048553), 
(1, 242, 50,0.029895), 
(1, 243, 50,0.028231), 
(1, 393, 50,0.051848), 
(1, 286, 50,0.033762), 
(1, 271, 50,0.033807), 
(1, 313, 50,0.062410), 
(1, 163, 50,0.031754), 
(1, 242, 50,0.044551), 
(1, 332, 50,0.061435), 
(1, 313, 50,0.052031), 
(1, 397, 60,0.055784), 
(1, 298, 60,0.052019), 
(1, 315, 60,0.046235), 
(1, 385, 60,0.061064), 
(1, 408, 60,0.062704), 
(1, 646, 60,0.083609), 
(1, 394, 60,0.071360), 
(1, 409, 60,0.080474), 
(1, 361, 60,0.075215), 
(1, 382, 60,0.071511), 
(1, 276, 60,0.049588), 
(1, 356, 60,0.055651), 
(1, 447, 60,0.072252), 
(1, 244, 60,0.041916), 
(1, 451, 60,0.068013), 
(1, 399, 60,0.056646), 
(1, 355, 60,0.051587), 
(1, 489, 60,0.074617), 
(1, 426, 60,0.070344), 
(1, 395, 60,0.064369), 
(1, 581, 60,0.092988), 
(1, 383, 60,0.064909), 
(1, 432, 60,0.074675), 
(1, 296, 60,0.043415), 
(1, 434, 60,0.066491), 
(1, 582, 60,0.093295), 
(1, 369, 60,0.064165), 
(1, 546, 60,0.083510), 
(1, 372, 60,0.054529), 
(1, 387, 60,0.060516), 
(1, 536, 60,0.077720), 
(1, 325, 60,0.052174), 
(1, 484, 60,0.075844), 
(1, 415, 60,0.057106), 
(1, 538, 60,0.086213), 
(1, 462, 60,0.067548), 
(1, 358, 60,0.059307), 
(1, 511, 60,0.084675), 
(1, 420, 60,0.063283), 
(1, 425, 60,0.063957), 
(1, 248, 60,0.035887), 
(1, 578, 70,0.111994), 
(1, 830, 70,0.143328), 
(1, 494, 70,0.095103), 
(1, 407, 70,0.080923), 
(1, 542, 70,0.106372), 
(1, 462, 70,0.158314), 
(1, 453, 70,0.132618), 
(1, 351, 70,0.072881), 
(1, 722, 70,0.140528), 
(1, 460, 70,0.086772), 
(1, 592, 70,0.118068), 
(1, 600, 70,0.106109), 
(1, 590, 70,0.115149), 
(1, 598, 70,0.104884), 
(1, 598, 70,0.122775), 
(1, 832, 70,0.153216), 
(1, 727, 70,0.150478), 
(1, 655, 70,0.125187), 
(1, 789, 70,0.149581), 
(1, 609, 70,0.129752), 
(1, 464, 70,0.087704), 
(1, 474, 70,0.112444), 
(1, 604, 70,0.114548), 
